"","Additional Resources","All taxonomy terms","Announcement","Audience","Author","Author / Institution","Body","Body","Body","byline","Climate Topics","Date of Issue","Description","Duration ","Expert Personal Site","Expert/s","Explore/Interactive Image","Header Title","Key Personnel","Learn More Link","Link","Organization Name","Other Expert","Polar Topics","Post date","Primary Image","Project Image","Project Landing Page Image","Project Lead","Project URL","Resource Link","Resource Type","Tagline","Tags","Title","Type"
"Strategic Management of Resources in Times of Change (SMARTIC)","","Alaska, High School, Analog Game/Simulation, College, Graduate/Professional, Arctic, Impacts of Climate Change, Research, Community, General, Indigenous Perspectives, Marine Ecosystem, Sea Ice, Temperature","","High School, College, Graduate/Professional, Research, General","","Stephanie Pfirman, PoLAR Partnership ","Participants take on the roles of key Arctic stakeholders in this marine spatial planning activity.  Players build off of an introductory presentation on climate change in the Arctic to devise a strategy to manage competing interstes and climate change impacts on a global scale (the Arctic). After a brief synopsis on current issues and management approaches in the Arctic, players use information based on the stakeholder information provided to pinpoint areas of high interest, set conservation and development priorities, negotiate to resolve conflicts, and develop a sustainable, multi-use management plan for high priority areas. Players gain an increased understanding of the complex web of stakeholder interests and scientific issues and also learn how to devise a strategic plan for a global issue and an area of significant socio-economic, political, and environmental importance.","Participants take on the roles of key Arctic stakeholders in this marine spatial planning activity.  Players build off of an introductory presentation on climate change in the Arctic to devise a strategy to manage competing interstes and climate change impacts on a global scale (the Arctic). After a brief synopsis on current issues and management approaches in the Arctic, players use information based on the stakeholder information provided to pinpoint areas of high interest, set conservation and development priorities, negotiate to resolve conflicts, and develop a sustainable, multi-use management plan for high priority areas. Players gain an increased understanding of the complex web of stakeholder interests and scientific issues and also learn how to devise a strategic plan for a global issue and an area of significant socio-economic, political, and environmental importance.","Participants take on the roles of key Arctic stakeholders in this marine spatial planning activity.  Players build off of an introductory presentation on climate change in the Arctic to devise a strategy to manage competing interstes and climate change impacts on a global scale (the Arctic). After a brief synopsis on current issues and management approaches in the Arctic, players use information based on the stakeholder information provided to pinpoint areas of high interest, set conservation and development priorities, negotiate to resolve conflicts, and develop a sustainable, multi-use management plan for high priority areas. Players gain an increased understanding of the complex web of stakeholder interests and scientific issues and also learn how to devise a strategic plan for a global issue and an area of significant socio-economic, political, and environmental importance.","","Impacts of Climate Change","","","","","","","","","","view","","","Alaska, Arctic, Community, Indigenous Perspectives, Marine Ecosystem, Sea Ice, Temperature","July 29, 2016 - 12:42pm","","","","","","SMARTIC Role Play Simulation","Analog Game/Simulation","","","Strategic Management of Resources in Times of Change (SMARTIC)","Resource"
"InTeGrate: Interdisciplinary Teaching about Earth for a Sustainable Future","","Climate System, College, Impacts of Climate Change, General, Curriculum","","College, General","","Carleton College","This module addresses both aspects of climate literacy: understanding of climate science through data analysis and interpretation, and understanding of literary tools and techniques through which climate science is portrayed. The module is designed to be completed in introductory natural science classes where literature is not typically included as well as in humanities classes where climate change science is not normally addressed. Students will engage in activities that address both climate change science and climate change literature, including graphing data, working in groups to analyze and interpret data, creating a concept map, conducting rhetorical analyses, and writing and responding to a blog.","This module addresses both aspects of climate literacy: understanding of climate science through data analysis and interpretation, and understanding of literary tools and techniques through which climate science is portrayed. The module is designed to be completed in introductory natural science classes where literature is not typically included as well as in humanities classes where climate change science is not normally addressed. Students will engage in activities that address both climate change science and climate change literature, including graphing data, working in groups to analyze and interpret data, creating a concept map, conducting rhetorical analyses, and writing and responding to a blog.","This module addresses both aspects of climate literacy: understanding of climate science through data analysis and interpretation, and understanding of literary tools and techniques through which climate science is portrayed. The module is designed to be completed in introductory natural science classes where literature is not typically included as well as in humanities classes where climate change science is not normally addressed. Students will engage in activities that address both climate change science and climate change literature, including graphing data, working in groups to analyze and interpret data, creating a concept map, conducting rhetorical analyses, and writing and responding to a blog.","","Climate System, Impacts of Climate Change","","","","","","","","","","view","","","","May 5, 2016 - 4:05pm","","","","","","http://serc.carleton.edu/integrate/teaching_materials/climate_fact/index.html","Curriculum","","","InTeGrate: Interdisciplinary Teaching about Earth for a Sustainable Future","Resource"
"Our Earth's Future","","Climate System, College, Causes of Climate Change, Graduate/Professional, Online Interactive Tool, Arctic, Impacts of Climate Change, General, Mitigation, Adaptation, Indigenous Perspectives, Marine Ecosystem, Sea Ice, Sea Level Rise, Terrestrial Ecosystem, Temperature","","College, Graduate/Professional, General","","American Museum of Natural History, Debra Tillinger","Our Earth’s Future is about the science of climate change and how to talk about it. You will learn from scientists in the fields of climatology, oceanography, Earth science, and anthropology who study how climate change is affecting people, populations, and ways of life. Explore the multiple lines of evidence for the human-induced climate change that is happening today, and consider what that means for the future of our planet. At the end of this course, you will be able to understand key scientific principles, identify and address misconceptions, and contribute confidently to conversations about climate change.","Our Earth’s Future is about the science of climate change and how to talk about it. You will learn from scientists in the fields of climatology, oceanography, Earth science, and anthropology who study how climate change is affecting people, populations, and ways of life. Explore the multiple lines of evidence for the human-induced climate change that is happening today, and consider what that means for the future of our planet. At the end of this course, you will be able to understand key scientific principles, identify and address misconceptions, and contribute confidently to conversations about climate change.","Our Earth’s Future is about the science of climate change and how to talk about it. You will learn from scientists in the fields of climatology, oceanography, Earth science, and anthropology who study how climate change is affecting people, populations, and ways of life. Explore the multiple lines of evidence for the human-induced climate change that is happening today, and consider what that means for the future of our planet. At the end of this course, you will be able to understand key scientific principles, identify and address misconceptions, and contribute confidently to conversations about climate change.","","Climate System, Causes of Climate Change, Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","Arctic, Indigenous Perspectives, Marine Ecosystem, Sea Ice, Sea Level Rise, Terrestrial Ecosystem, Temperature","May 5, 2016 - 3:59pm","","","","","","https://www.coursera.org/learn/earth-climate-change/","Online Interactive Tool","","","Our Earth's Future","Resource"
"Arctic Ice Age: 1987-2014","","High School, Climate System, College, Graduate/Professional, Arctic, Impacts of Climate Change, General, Video/Visualization, Sea Ice","","High School, College, Graduate/Professional, General","","NOAA","Decades ago, the majority of the Arctic's winter ice pack was made up of thick, perennial ice. Today, very old ice is extremely rare. This animation tracks the relative amount of ice of different ages from 1987 through early November 2014. Video produced by the Climate.gov team, based on data provided by Mark Tschudi.","Decades ago, the majority of the Arctic's winter ice pack was made up of thick, perennial ice. Today, very old ice is extremely rare. This animation tracks the relative amount of ice of different ages from 1987 through early November 2014. Video produced by the Climate.gov team, based on data provided by Mark Tschudi.","Decades ago, the majority of the Arctic's winter ice pack was made up of thick, perennial ice. Today, very old ice is extremely rare. This animation tracks the relative amount of ice of different ages from 1987 through early November 2014. Video produced by the Climate.gov team, based on data provided by Mark Tschudi.","","Climate System, Impacts of Climate Change","","","","","","","","","","view","","","Arctic, Sea Ice","May 5, 2016 - 3:56pm","","","","","","https://www.youtube.com/watch?v=FDRnH48LvhQ","Video/Visualization","","","Arctic Ice Age: 1987-2014","Resource"
"Thin Ice","","High School, Climate System, College, Antarctic, Causes of Climate Change, Arctic, Impacts of Climate Change, General, Video/Visualization, Family, Glaciers/Land Ice, Paleoclimate, Sea Ice, Sea Level Rise, Snow, Temperature","","High School, College, General, Family","","Simon Lamb,  The Tindall Foundation, Climate Change Institute , Andrill, New Zealand Antarctic Research Institute","Climate science has been coming under increasing attack. Geologist Simon Lamb takes a look at what’s really happening with global warming by filming scientists at work in the Arctic, the Antarctic and around the world. The result is a unique exploration of the science behind global warming and an intimate portrait of a global community of researchers racing to understand our planet’s changing climate.","Climate science has been coming under increasing attack. Geologist Simon Lamb takes a look at what’s really happening with global warming by filming scientists at work in the Arctic, the Antarctic and around the world. The result is a unique exploration of the science behind global warming and an intimate portrait of a global community of researchers racing to understand our planet’s changing climate.","Climate science has been coming under increasing attack. Geologist Simon Lamb takes a look at what’s really happening with global warming by filming scientists at work in the Arctic, the Antarctic and around the world. The result is a unique exploration of the science behind global warming and an intimate portrait of a global community of researchers racing to understand our planet’s changing climate.","","Climate System, Causes of Climate Change, Impacts of Climate Change","","","","","","","","","","view","","","Antarctic, Arctic, Glaciers/Land Ice, Paleoclimate, Sea Ice, Sea Level Rise, Snow, Temperature","May 5, 2016 - 3:55pm","","","","","","http://thiniceclimate.org/","Video/Visualization","","","Thin Ice","Resource"
"What We Know","","High School, Climate System, College, Antarctic, Causes of Climate Change, Online Interactive Tool, Arctic, Impacts of Climate Change, General, Mitigation, Video/Visualization, Adaptation, Glaciers/Land Ice, Website, Publication, Permafrost, Sea Ice, Sea Level Rise, Temperature","","High School, College, General","","American Association for the Advancement of Science","The overwhelming evidence of human-caused climate change documents both current impacts with significant costs and extraordinary future risks to society and natural systems. The scientific community has convened conferences, published reports, spoken out at forums and proclaimed, through statements by virtually every national scientific academy and relevant major scientific organization — including the American Association for the Advancement of Science (AAAS) — that climate change puts the well-being of people of all nations at risk. Surveys show that many Americans think climate change is still a topic of significant scientific disagreement. Thus, it is important and increasingly urgent for the public to know there is now a high degree of agreement among climate scientists that human-caused climate change is real. Moreover, while the public is becoming aware that climate change is increasing the likelihood of certain local disasters, many people do not yet understand that there is a small, but real chance of abrupt, unpredictable and potentially irreversible changes with highly damaging impacts on people in the United States and around the world.","The overwhelming evidence of human-caused climate change documents both current impacts with significant costs and extraordinary future risks to society and natural systems. The scientific community has convened conferences, published reports, spoken out at forums and proclaimed, through statements by virtually every national scientific academy and relevant major scientific organization — including the American Association for the Advancement of Science (AAAS) — that climate change puts the well-being of people of all nations at risk. Surveys show that many Americans think climate change is still a topic of significant scientific disagreement. Thus, it is important and increasingly urgent for the public to know there is now a high degree of agreement among climate scientists that human-caused climate change is real. Moreover, while the public is becoming aware that climate change is increasing the likelihood of certain local disasters, many people do not yet understand that there is a small, but real chance of abrupt, unpredictable and potentially irreversible changes with highly damaging impacts on people in the United States and around the world.","The overwhelming evidence of human-caused climate change documents both current impacts with significant costs and extraordinary future risks to society and natural systems. The scientific community has convened conferences, published reports, spoken out at forums and proclaimed, through statements by virtually every national scientific academy and relevant major scientific organization — including the American Association for the Advancement of Science (AAAS) — that climate change puts the well-being of people of all nations at risk. Surveys show that many Americans think climate change is still a topic of significant scientific disagreement. Thus, it is important and increasingly urgent for the public to know there is now a high degree of agreement among climate scientists that human-caused climate change is real. Moreover, while the public is becoming aware that climate change is increasing the likelihood of certain local disasters, many people do not yet understand that there is a small, but real chance of abrupt, unpredictable and potentially irreversible changes with highly damaging impacts on people in the United States and around the world.","","Climate System, Causes of Climate Change, Impacts of Climate Change, Mitigation, Adaptation","","","","","","","","","","view","","","Antarctic, Arctic, Glaciers/Land Ice, Permafrost, Sea Ice, Sea Level Rise, Temperature","May 5, 2016 - 3:51pm","","","","","","http://whatweknow.aaas.org/get-the-facts/","Online Interactive Tool, Video/Visualization, Website, Publication","","","What We Know","Resource"
"Frozen Planet","","High School, College, Antarctic, Arctic, Impacts of Climate Change, General, Video/Visualization, Family, Glaciers/Land Ice, Marine Ecosystem, Sea Ice, Snow, Terrestrial Ecosystem, Temperature","","High School, College, General, Family","","BBC","David Attenborough travels to the end of the earth, taking viewers on an extraordinary journey across the polar regions of our planet.","David Attenborough travels to the end of the earth, taking viewers on an extraordinary journey across the polar regions of our planet.","David Attenborough travels to the end of the earth, taking viewers on an extraordinary journey across the polar regions of our planet.","","Impacts of Climate Change","","","","","","","","","","view","","","Antarctic, Arctic, Glaciers/Land Ice, Marine Ecosystem, Sea Ice, Snow, Terrestrial Ecosystem, Temperature","May 5, 2016 - 3:47pm","","","","","","http://www.bbc.co.uk/programmes/b00mfl7n","Video/Visualization","","","Frozen Planet","Resource"
"Governing a Changing Arctic","","College, Graduate/Professional, Arctic, Audio, Impacts of Climate Change, Community, General, Indigenous Perspectives, Sea Ice","","College, Graduate/Professional, General","","Brookings Institute","The Arctic is changing. As the polar ice cap recedes, new shipping routes are opening up and access to Arctic energy resources is expanding. John Banks, a nonresident senior fellow with the Energy Security Initiative at Brookings, explains what these changes mean for Arctic governance and for U.S. leadership of the Arctic Council in 2015.","The Arctic is changing. As the polar ice cap recedes, new shipping routes are opening up and access to Arctic energy resources is expanding. John Banks, a nonresident senior fellow with the Energy Security Initiative at Brookings, explains what these changes mean for Arctic governance and for U.S. leadership of the Arctic Council in 2015.","The Arctic is changing. As the polar ice cap recedes, new shipping routes are opening up and access to Arctic energy resources is expanding. John Banks, a nonresident senior fellow with the Energy Security Initiative at Brookings, explains what these changes mean for Arctic governance and for U.S. leadership of the Arctic Council in 2015.","","Impacts of Climate Change","","","","","","","","","","view","","","Arctic, Community, Indigenous Perspectives, Sea Ice","May 5, 2016 - 3:43pm","","","","","","http://www.brookings.edu/research/podcasts/2014/04/governing-a-changing-arctic","Audio","","","Governing a Changing Arctic","Resource"
"The Impacts of Climate Change on Human Health in the United States: A Scientific Assessment","","College, Graduate/Professional, Impacts of Climate Change, Research, General, Indigenous Perspectives, Website, Publication, Sea Level Rise, Temperature","","College, Graduate/Professional, Research, General","","U.S. Global Change Research Program","Climate change is a significant threat to the health of the American people. This scientific assessment examines how climate change is already affecting human health and the changes that may occur in the future.","Climate change is a significant threat to the health of the American people. This scientific assessment examines how climate change is already affecting human health and the changes that may occur in the future.","Climate change is a significant threat to the health of the American people. This scientific assessment examines how climate change is already affecting human health and the changes that may occur in the future.","","Impacts of Climate Change","","","","","","","","","","view","","","Indigenous Perspectives, Sea Level Rise, Temperature","May 5, 2016 - 3:41pm","","","","","","https://health2016.globalchange.gov/","Website, Publication","","","The Impacts of Climate Change on Human Health in the United States: A Scientific Assessment","Resource"
"Climate Wizard","","High School, College, Online Interactive Tool, Impacts of Climate Change, General, Video/Visualization, Images, Website, Temperature","","High School, College, General","","The Nature Conservancy","An interactive map that illustrates averages and changes in temperature or precipitation over the past 50 years as well projecting for mid and end of the century, which are based on IPCC emission scenarios.","An interactive map that illustrates averages and changes in temperature or precipitation over the past 50 years as well projecting for mid and end of the century, which are based on IPCC emission scenarios.","An interactive map that illustrates averages and changes in temperature or precipitation over the past 50 years as well projecting for mid and end of the century, which are based on IPCC emission scenarios.","","Impacts of Climate Change","","","","","","","","","","view","","","Temperature","April 25, 2016 - 12:49pm","","","","","","http://www.climatewizard.org/","Online Interactive Tool, Video/Visualization, Images, Website","","","Climate Wizard","Resource"
